EmployeeID,Position,ExperienceYears,Degree,Field,Certification,ResearchPublications,University,Location,Salary
72,Research Scientist,2,Master's,Science,Advanced Certified,68,University B,Rural,78600
73,Research Scientist,6,Master's,Science,Advanced Certified,21,University B,Rural,71200
74,Associate Professor,31,Bachelor's,Medicine,Certified,79,University B,Urban,122590
75,Research Scientist,10,PhD,Science,Advanced Certified,72,University B,Urban,121420
76,Associate Professor,21,Bachelor's,Engineering,None,52,University D,Suburban,88990
77,Assistant Professor,10,PhD,Medicine,None,47,University C,Urban,100620
78,Lecturer,23,Master's,Arts,Advanced Certified,72,University A,Suburban,90090
79,Lecturer,3,PhD,Arts,Certified,75,University B,Suburban,86350
80,Lecturer,32,PhD,Arts,None,46,University D,Suburban,92620
81,Research Scientist,20,PhD,Business,Advanced Certified,41,University D,Rural,92200
82,Assistant Professor,10,Master's,Medicine,None,3,University B,Urban,76180
83,Research Scientist,29,Master's,Medicine,None,81,University B,Rural,87700
84,Research Scientist,34,Master's,Science,None,81,University A,Suburban,99220
85,Assistant Professor,37,Bachelor's,Medicine,None,41,University C,Suburban,82170
86,Assistant Professor,20,PhD,Medicine,Advanced Certified,42,University A,Rural,88400
87,Assistant Professor,8,Master's,Science,None,96,University C,Urban,99060
88,Assistant Professor,7,Bachelor's,Medicine,Advanced Certified,41,University D,Rural,66700
89,Lecturer,6,Master's,Medicine,None,2,University D,Rural,52400
90,Professor,11,PhD,Engineering,None,58,University B,Urban,145730
91,Professor,18,Bachelor's,Science,None,80,University A,Suburban,115500
92,Assistant Professor,29,Master's,Engineering,Advanced Certified,75,University A,Urban,116350
93,Professor,25,Master's,Business,None,10,University B,Urban,129350
94,Professor,21,Bachelor's,Science,None,80,University A,Rural,106500
95,Assistant Professor,3,Bachelor's,Medicine,Certified,34,University D,Suburban,65230
96,Professor,18,Bachelor's,Medicine,None,49,University D,Suburban,108680
97,Research Scientist,24,Bachelor's,Engineering,Certified,62,University B,Suburban,87340
98,Associate Professor,38,Bachelor's,Engineering,Advanced Certified,69,University B,Rural,99800
99,Associate Professor,10,Master's,Business,None,98,University C,Rural,89600
100,Assistant Professor,27,Bachelor's,Business,None,5,University D,Urban,81250
101,Lecturer,12,Bachelor's,Medicine,Certified,31,University D,Urban,76960
102,Assistant Professor,7,PhD,Arts,Certified,10,University D,Rural,71500
103,Lecturer,17,Master's,Business,None,42,University D,Urban,85670
104,Associate Professor,1,PhD,Medicine,Advanced Certified,38,University D,Rural,90100
105,Assistant Professor,26,Master's,Business,Certified,12,University C,Urban,92820
106,Research Scientist,15,Master's,Science,None,12,University B,Suburban,73590
107,Professor,33,Master's,Engineering,Certified,38,University B,Rural,112100
108,Lecturer,37,Bachelor's,Medicine,Advanced Certified,45,University A,Urban,102050
109,Professor,31,PhD,Business,Certified,33,University D,Rural,120100
110,Professor,35,Master's,Engineering,None,66,University D,Rural,115700
111,Assistant Professor,1,Master's,Arts,Certified,31,University B,Urban,81510
112,Professor,8,Master's,Business,Advanced Certified,67,University D,Urban,142220
113,Research Scientist,12,PhD,Medicine,None,64,University D,Rural,85800
114,Professor,19,Master's,Science,None,72,University D,Rural,108900
115,Assistant Professor,25,PhD,Engineering,None,6,University B,Urban,99710
116,Research Scientist,32,PhD,Engineering,None,90,University A,Suburban,111100
117,Associate Professor,12,Bachelor's,Science,Advanced Certified,2,University B,Suburban,80740
118,Professor,13,Master's,Medicine,None,85,University D,Suburban,119350
119,Assistant Professor,28,Master's,Arts,Advanced Certified,79,University B,Rural,89800
120,Associate Professor,1,PhD,Science,Advanced Certified,71,University C,Suburban,106370
121,Associate Professor,6,PhD,Arts,Certified,68,University D,Rural,94600
122,Lecturer,8,Bachelor's,Medicine,Certified,48,University B,Urban,78780
123,Research Scientist,4,Master's,Business,None,57,University B,Suburban,77440
124,Professor,5,PhD,Business,None,93,University A,Urban,150930
125,Assistant Professor,25,Master's,Medicine,Advanced Certified,27,University D,Suburban,85690
126,Lecturer,22,Master's,Arts,Certified,26,University C,Suburban,75020
127,Research Scientist,28,Master's,Science,None,21,University C,Urban,97760
128,Lecturer,39,PhD,Medicine,None,93,University D,Urban,126230
129,Research Scientist,23,Master's,Medicine,Advanced Certified,100,University B,Rural,95500
130,Research Scientist,4,PhD,Business,Certified,70,University C,Urban,111800
131,Professor,4,Bachelor's,Science,None,93,University D,Rural,100600
132,Research Scientist,21,Bachelor's,Business,None,12,University C,Rural,64900
133,Lecturer,37,PhD,Arts,None,21,University D,Urban,106210
134,Research Scientist,2,Master's,Arts,None,74,University C,Suburban,80080
135,Professor,7,Bachelor's,Engineering,None,4,University A,Suburban,92730
136,Professor,16,Bachelor's,Medicine,None,21,University D,Suburban,101420
137,Lecturer,17,PhD,Science,Certified,78,University A,Urban,111930
138,Associate Professor,20,PhD,Science,Advanced Certified,52,University D,Suburban,112640
139,Associate Professor,23,PhD,Business,Advanced Certified,38,University C,Rural,101100
140,Research Scientist,34,PhD,Business,Advanced Certified,36,University C,Urban,127660
141,Assistant Professor,11,PhD,Science,None,30,University B,Rural,74500
142,Research Scientist,34,PhD,Business,Advanced Certified,61,University C,Suburban,113520
143,Lecturer,33,PhD,Engineering,Certified,92,University A,Suburban,106590
144,Lecturer,26,Master's,Medicine,None,80,University B,Suburban,85800
145,Lecturer,2,Master's,Engineering,Certified,5,University A,Rural,54000
146,Lecturer,23,Master's,Arts,None,80,University A,Suburban,84150
147,Lecturer,22,Master's,Science,None,33,University A,Rural,66600
148,Professor,34,Bachelor's,Engineering,Advanced Certified,86,University A,Urban,157560
149,Associate Professor,15,Master's,Engineering,Certified,51,University A,Urban,111410
150,Lecturer,10,Bachelor's,Business,Advanced Certified,29,University D,Urban,80340
151,Assistant Professor,15,Bachelor's,Business,None,12,University D,Suburban,63690
152,Assistant Professor,29,Bachelor's,Business,Certified,57,University B,Rural,76900
153,Assistant Professor,23,PhD,Arts,Certified,93,University A,Suburban,105710
154,Assistant Professor,17,Bachelor's,Engineering,None,52,University D,Urban,86970
155,Professor,9,Bachelor's,Medicine,Advanced Certified,19,University C,Urban,123890
156,Assistant Professor,36,Bachelor's,Business,None,5,University B,Suburban,73700
157,Lecturer,9,PhD,Arts,Certified,54,University D,Suburban,85030
158,Research Scientist,16,Master's,Arts,Certified,30,University C,Suburban,81400
159,Assistant Professor,36,Master's,Business,Certified,58,University B,Rural,85600
160,Professor,33,Bachelor's,Science,None,18,University C,Suburban,110110
161,Professor,31,Bachelor's,Engineering,Certified,69,University A,Urban,145990
162,Assistant Professor,6,Master's,Business,Certified,97,University C,Urban,101920
163,Research Scientist,10,Master's,Medicine,Advanced Certified,27,University A,Rural,74400
164,Assistant Professor,16,Master's,Engineering,Advanced Certified,12,University B,Suburban,77440
165,Professor,4,Master's,Arts,Certified,51,University A,Rural,100200
166,Associate Professor,22,Bachelor's,Medicine,Advanced Certified,73,University C,Suburban,101860
167,Lecturer,13,Bachelor's,Engineering,None,60,University A,Urban,81250
168,Professor,16,Bachelor's,Medicine,Advanced Certified,40,University A,Suburban,113300
169,Assistant Professor,29,Master's,Arts,Advanced Certified,44,University B,Suburban,91630
170,Lecturer,6,PhD,Business,Advanced Certified,6,University A,Urban,91260
171,Assistant Professor,26,Master's,Medicine,Advanced Certified,81,University D,Urban,115960
172,Assistant Professor,11,Master's,Business,None,85,University B,Urban,98150
173,Associate Professor,24,PhD,Arts,Advanced Certified,13,University C,Suburban,106260
174,Lecturer,29,PhD,Arts,Certified,35,University B,Rural,83500
175,Lecturer,3,Master's,Medicine,Advanced Certified,7,University C,Suburban,64790
176,Associate Professor,10,PhD,Medicine,Advanced Certified,11,University C,Rural,89200
177,Professor,1,PhD,Arts,Certified,39,University A,Suburban,116930
178,Assistant Professor,26,PhD,Medicine,None,96,University B,Suburban,104720
179,Research Scientist,12,Master's,Medicine,Certified,87,University C,Suburban,91740
180,Assistant Professor,14,Master's,Medicine,Certified,61,University D,Suburban,82720
181,Assistant Professor,25,PhD,Medicine,Certified,13,University A,Rural,81100
182,Professor,8,Bachelor's,Engineering,Certified,48,University A,Suburban,106260
183,Assistant Professor,4,PhD,Arts,Advanced Certified,50,University C,Urban,106600
184,Associate Professor,28,PhD,Arts,Advanced Certified,61,University D,Urban,140660
185,Associate Professor,7,Master's,Science,Advanced Certified,4,University A,Suburban,83930
186,Lecturer,10,Bachelor's,Business,Advanced Certified,82,University B,Rural,72400
187,Research Scientist,36,PhD,Science,None,66,University C,Urban,127660
188,Assistant Professor,2,Bachelor's,Medicine,Advanced Certified,0,University D,Urban,72800
189,Assistant Professor,26,Master's,Medicine,Advanced Certified,100,University C,Urban,120900
190,Professor,14,Bachelor's,Engineering,None,96,University A,Suburban,116820
191,Associate Professor,16,Master's,Engineering,Certified,48,University D,Urban,111280
192,Research Scientist,17,PhD,Engineering,Advanced Certified,16,University C,Rural,85700
193,Lecturer,22,Master's,Engineering,Advanced Certified,72,University C,Rural,81400
194,Associate Professor,4,Bachelor's,Engineering,Certified,94,University C,Rural,83800
195,Lecturer,19,Bachelor's,Engineering,Advanced Certified,34,University B,Urban,87490
196,Professor,2,Bachelor's,Engineering,Certified,66,University B,Urban,126360
197,Professor,39,PhD,Engineering,Certified,12,University B,Rural,119900
198,Assistant Professor,9,Bachelor's,Engineering,Certified,36,University B,Urban,81510
199,Research Scientist,19,Bachelor's,Arts,Advanced Certified,37,University A,Rural,75900
200,Lecturer,16,Bachelor's,Engineering,Certified,77,University C,Suburban,77440
201,Associate Professor,25,Master's,Business,Advanced Certified,5,University B,Suburban,94050
202,Professor,18,Bachelor's,Engineering,None,92,University A,Suburban,118140
203,Assistant Professor,23,Master's,Medicine,Certified,62,University B,Urban,103870
204,Assistant Professor,21,Bachelor's,Medicine,Advanced Certified,48,University A,Suburban,82610
205,Lecturer,11,Master's,Engineering,Certified,8,University D,Suburban,65010
206,Professor,39,Master's,Engineering,Advanced Certified,35,University B,Rural,118500
207,Research Scientist,4,PhD,Medicine,Advanced Certified,22,University B,Rural,80400
208,Professor,25,PhD,Business,None,78,University C,Rural,123100
209,Lecturer,32,Master's,Science,Certified,56,University B,Suburban,87120
210,Lecturer,30,Master's,Arts,Advanced Certified,49,University B,Rural,80800
211,Professor,26,PhD,Medicine,None,58,University A,Suburban,131560
212,Lecturer,36,Master's,Engineering,Advanced Certified,6,University C,Urban,97760
213,Professor,34,PhD,Arts,Advanced Certified,46,University C,Suburban,141020
214,Associate Professor,9,PhD,Engineering,None,88,University D,Rural,97100
215,Professor,12,Bachelor's,Science,Certified,100,University A,Rural,109000
216,Professor,2,Bachelor's,Science,None,86,University B,Rural,98200
217,Lecturer,38,PhD,Medicine,Certified,74,University A,Rural,95800
218,Lecturer,5,PhD,Arts,Advanced Certified,55,University B,Urban,103350
219,Assistant Professor,5,Master's,Arts,Advanced Certified,7,University D,Urban,83070
220,Assistant Professor,22,PhD,Science,None,35,University B,Suburban,89100
221,Associate Professor,5,PhD,Engineering,None,41,University C,Rural,85700
222,Assistant Professor,4,Bachelor's,Medicine,None,38,University D,Urban,74880
223,Professor,9,PhD,Business,Advanced Certified,64,University B,Urban,155090
224,Lecturer,29,Master's,Science,Certified,43,University D,Urban,97630
225,Assistant Professor,22,PhD,Science,None,76,University C,Rural,89200
226,Assistant Professor,27,Bachelor's,Medicine,Certified,79,University C,Urban,104390
227,Associate Professor,10,Bachelor's,Engineering,None,45,University A,Rural,74000
228,Associate Professor,16,Bachelor's,Arts,None,12,University B,Urban,91520
229,Professor,10,Bachelor's,Science,None,36,University D,Urban,119860
230,Lecturer,6,PhD,Medicine,None,13,University A,Rural,64600
231,Associate Professor,5,Master's,Medicine,Advanced Certified,12,University D,Rural,76900
232,Assistant Professor,6,Master's,Medicine,Advanced Certified,11,University A,Rural,65200
233,Lecturer,25,Master's,Arts,None,54,University A,Urban,93990
234,Lecturer,4,PhD,Science,Advanced Certified,27,University A,Suburban,80740
235,Assistant Professor,40,PhD,Medicine,Advanced Certified,21,University C,Suburban,103620
236,Associate Professor,32,PhD,Arts,Advanced Certified,83,University C,Rural,114600
237,Assistant Professor,35,Master's,Engineering,Advanced Certified,18,University C,Rural,81100
238,Lecturer,10,PhD,Business,Certified,74,University C,Suburban,89980
239,Research Scientist,34,PhD,Science,Certified,29,University D,Suburban,102080
240,Research Scientist,36,Bachelor's,Arts,Advanced Certified,53,University B,Rural,87600
241,Professor,6,Bachelor's,Business,Certified,89,University C,Rural,103800
242,Assistant Professor,16,Master's,Business,None,14,University B,Rural,63800
243,Assistant Professor,19,Bachelor's,Arts,Certified,29,University A,Suburban,72930
244,Professor,34,Bachelor's,Arts,None,28,University B,Suburban,112860
245,Professor,25,Bachelor's,Arts,Certified,31,University C,Suburban,111870
246,Professor,31,PhD,Medicine,Certified,29,University D,Rural,119300
247,Lecturer,17,Bachelor's,Engineering,None,15,University C,Urban,72150
248,Assistant Professor,30,Bachelor's,Medicine,None,35,University D,Suburban,77000
249,Lecturer,39,Bachelor's,Business,Advanced Certified,81,University C,Urban,112710
250,Professor,31,PhD,Business,Certified,47,University A,Urban,159770
251,Assistant Professor,19,Master's,Business,None,27,University D,Suburban,74690
252,Lecturer,35,PhD,Arts,Advanced Certified,61,University A,Suburban,105270
253,Lecturer,29,PhD,Science,None,82,University C,Suburban,98890
254,Professor,1,Bachelor's,Medicine,Advanced Certified,55,University A,Rural,98500
255,Assistant Professor,4,Master's,Science,Advanced Certified,55,University B,Urban,94900
256,Professor,28,Bachelor's,Engineering,None,74,University B,Urban,141440
257,Assistant Professor,18,Bachelor's,Engineering,None,16,University D,Urban,78260
258,Research Scientist,26,Master's,Medicine,Certified,61,University B,Urban,110760
259,Associate Professor,40,Master's,Business,Certified,20,University B,Rural,92000
260,Associate Professor,19,PhD,Engineering,Advanced Certified,36,University C,Suburban,108570
261,Associate Professor,6,Master's,Science,None,33,University C,Suburban,82060
262,Professor,1,PhD,Science,Certified,96,University B,Rural,117700
263,Research Scientist,8,PhD,Arts,Advanced Certified,28,University D,Suburban,91960
264,Assistant Professor,33,Bachelor's,Business,Certified,67,University B,Urban,105170
265,Lecturer,21,Bachelor's,Arts,Advanced Certified,95,University C,Rural,80500
266,Assistant Professor,24,Bachelor's,Medicine,Certified,59,University A,Rural,74800
267,Lecturer,25,Master's,Engineering,None,10,University D,Urban,82550
268,Assistant Professor,19,Master's,Arts,Advanced Certified,89,University D,Rural,87300
269,Research Scientist,29,PhD,Arts,Advanced Certified,81,University B,Urban,136110
270,Lecturer,10,PhD,Medicine,Certified,95,University A,Rural,86000
271,Professor,12,PhD,Science,Certified,59,University D,Suburban,127380
272,Assistant Professor,33,Master's,Science,Certified,90,University D,Urban,117650
273,Assistant Professor,7,PhD,Medicine,None,79,University C,Suburban,90530
274,Lecturer,17,PhD,Science,Certified,73,University B,Rural,85100
275,Professor,10,Master's,Medicine,Certified,33,University B,Rural,99600
276,Professor,31,Bachelor's,Science,None,32,University D,Rural,101900
277,Research Scientist,6,Master's,Medicine,Certified,9,University A,Rural,64800
278,Professor,17,PhD,Science,None,59,University A,Rural,115300
279,Professor,37,Bachelor's,Arts,None,25,University A,Suburban,113850
280,Professor,18,Master's,Arts,Certified,24,University A,Urban,132340
281,Associate Professor,26,Bachelor's,Science,None,1,University B,Rural,73200
282,Research Scientist,16,Bachelor's,Medicine,Certified,89,University C,Rural,80800
283,Assistant Professor,8,PhD,Arts,None,83,University A,Rural,83600
284,Lecturer,24,Master's,Engineering,Advanced Certified,2,University A,Suburban,75240
285,Assistant Professor,13,PhD,Science,Certified,31,University C,Rural,78700
286,Research Scientist,29,Master's,Engineering,Advanced Certified,0,University B,Rural,78500
287,Lecturer,32,Master's,Engineering,Advanced Certified,23,University C,Rural,76600
288,Research Scientist,24,Master's,Business,Advanced Certified,49,University C,Urban,111540
289,Professor,16,Bachelor's,Engineering,Advanced Certified,42,University A,Urban,134420
290,Lecturer,11,Bachelor's,Engineering,Certified,43,University C,Rural,61100
291,Professor,32,PhD,Business,None,32,University C,Urban,152620
292,Assistant Professor,6,Master's,Business,Certified,37,University B,Rural,66400
293,Assistant Professor,35,Master's,Business,Certified,51,University A,Rural,83700
294,Lecturer,33,Bachelor's,Medicine,None,34,University A,Urban,87490
295,Lecturer,18,Master's,Business,Advanced Certified,16,University D,Urban,88660
296,Research Scientist,37,PhD,Medicine,None,57,University A,Rural,96900
297,Research Scientist,13,Master's,Science,Advanced Certified,47,University B,Urban,103870
298,Professor,10,Master's,Medicine,Certified,42,University B,Urban,131820
299,Lecturer,37,Bachelor's,Science,None,47,University B,Urban,93470
300,Assistant Professor,26,Master's,Business,None,43,University D,Suburban,82060
301,Research Scientist,17,PhD,Business,Advanced Certified,32,University D,Suburban,97790
302,Research Scientist,1,PhD,Science,None,74,University B,Suburban,90530
303,Assistant Professor,25,PhD,Arts,Certified,86,University A,Suburban,105270
304,Research Scientist,34,PhD,Medicine,None,95,University D,Suburban,113300
305,Professor,39,Bachelor's,Engineering,None,82,University A,Rural,115900
306,Lecturer,10,Master's,Business,Certified,75,University D,Urban,93600
307,Assistant Professor,20,Bachelor's,Medicine,Advanced Certified,91,University C,Suburban,91520
308,Lecturer,7,PhD,Medicine,None,1,University B,Urban,81510
309,Research Scientist,16,Master's,Business,Advanced Certified,9,University C,Rural,73800
310,Research Scientist,37,Bachelor's,Science,None,82,University B,Urban,112970
311,Assistant Professor,29,Master's,Business,Certified,27,University C,Urban,98670
312,Professor,12,PhD,Medicine,Advanced Certified,46,University A,Rural,117200
313,Associate Professor,17,PhD,Arts,None,7,University A,Rural,84900
314,Assistant Professor,20,Master's,Science,Advanced Certified,22,University B,Urban,96720
315,Associate Professor,26,Master's,Business,None,47,University A,Urban,113620
316,Associate Professor,19,PhD,Engineering,Certified,93,University B,Rural,106100
317,Professor,12,Bachelor's,Business,Certified,91,University C,Suburban,117920
318,Associate Professor,21,PhD,Medicine,None,62,University B,Suburban,107690
319,Associate Professor,34,Master's,Medicine,None,76,University D,Suburban,106920
320,Professor,7,Bachelor's,Engineering,Advanced Certified,36,University C,Suburban,107470
321,Associate Professor,35,PhD,Science,None,11,University C,Urban,123110
322,Associate Professor,15,Master's,Medicine,Advanced Certified,73,University B,Suburban,103510
323,Associate Professor,1,Master's,Science,None,80,University D,Suburban,89650
324,Assistant Professor,26,Master's,Science,Certified,64,University D,Rural,81800
325,Assistant Professor,35,Bachelor's,Business,Advanced Certified,85,University A,Rural,89500
326,Assistant Professor,25,Bachelor's,Science,Advanced Certified,14,University C,Rural,70300
327,Professor,15,Bachelor's,Medicine,Certified,79,University A,Rural,106300
328,Research Scientist,22,Bachelor's,Medicine,Advanced Certified,83,University C,Urban,112580
329,Associate Professor,6,Master's,Arts,Certified,9,University C,Urban,94640
330,Associate Professor,15,Master's,Science,Certified,41,University C,Urban,108810
331,Professor,24,Bachelor's,Arts,Certified,25,University C,Suburban,110000
332,Associate Professor,21,Bachelor's,Business,None,48,University B,Suburban,88110
333,Assistant Professor,7,Master's,Arts,Certified,22,University D,Urban,83070
334,Research Scientist,29,PhD,Science,Advanced Certified,63,University C,Suburban,111210
335,Lecturer,32,PhD,Medicine,None,16,University A,Suburban,86020
336,Associate Professor,32,Master's,Business,Certified,33,University A,Suburban,99660
337,Assistant Professor,5,Bachelor's,Science,Certified,56,University B,Suburban,71170
338,Lecturer,4,Bachelor's,Business,Certified,85,University D,Suburban,72600
339,Research Scientist,22,Master's,Engineering,Advanced Certified,3,University C,Rural,75600
340,Lecturer,18,PhD,Science,None,70,University B,Urban,106600
341,Assistant Professor,35,Master's,Engineering,None,68,University A,Urban,109330
342,Lecturer,17,Master's,Arts,None,94,University D,Suburban,83930
343,Professor,24,Master's,Science,Advanced Certified,82,University C,Suburban,132440
344,Lecturer,2,Bachelor's,Engineering,Certified,67,University D,Rural,61400
345,Associate Professor,13,Bachelor's,Medicine,None,49,University A,Urban,99190
346,Associate Professor,15,Bachelor's,Arts,Certified,85,University B,Rural,87500
347,Professor,5,PhD,Science,Advanced Certified,66,University B,Rural,117700
348,Assistant Professor,3,Master's,Science,None,86,University A,Urban,93210
349,Associate Professor,37,Master's,Medicine,Advanced Certified,67,University C,Rural,103900
350,Research Scientist,37,PhD,Medicine,None,87,University C,Rural,102900
351,Associate Professor,37,Bachelor's,Engineering,None,58,University D,Urban,117130
352,Associate Professor,3,Master's,Engineering,Certified,77,University A,Urban,110370
353,Assistant Professor,35,PhD,Engineering,Advanced Certified,62,University A,Urban,129870
354,Lecturer,23,Bachelor's,Business,None,66,University C,Rural,68700
355,Associate Professor,28,Bachelor's,Arts,None,84,University A,Suburban,99880
356,Professor,30,Master's,Science,Advanced Certified,25,University B,Suburban,123200
357,Lecturer,18,Bachelor's,Arts,Certified,0,University C,Suburban,61600
358,Research Scientist,36,PhD,Medicine,Advanced Certified,93,University C,Rural,110600
359,Assistant Professor,33,Bachelor's,Arts,None,67,University B,Rural,77900
360,Research Scientist,26,Master's,Arts,Advanced Certified,77,University A,Suburban,101640
361,Lecturer,40,PhD,Engineering,Certified,17,University C,Urban,111020
362,Lecturer,17,Bachelor's,Medicine,Certified,11,University C,Urban,75010
363,Lecturer,40,Bachelor's,Arts,Certified,37,University C,Rural,74400
364,Research Scientist,7,Bachelor's,Science,Certified,41,University A,Suburban,73370
365,Lecturer,8,PhD,Engineering,Certified,35,University C,Rural,73000
366,Research Scientist,31,Bachelor's,Arts,Certified,15,University A,Rural,73500
367,Lecturer,12,Master's,Medicine,Certified,64,University D,Suburban,77880
368,Professor,31,PhD,Science,None,66,University B,Rural,123700
369,Lecturer,19,PhD,Medicine,Advanced Certified,38,University A,Urban,108030
370,Research Scientist,10,Bachelor's,Medicine,Certified,98,University A,Urban,103480
371,Associate Professor,39,PhD,Medicine,Advanced Certified,58,University B,Suburban,124410
372,Lecturer,12,Master's,Business,Advanced Certified,78,University A,Rural,77600
373,Associate Professor,20,PhD,Science,None,37,University B,Urban,120120
374,Professor,37,Master's,Medicine,Advanced Certified,15,University D,Suburban,124850
375,Assistant Professor,7,Bachelor's,Business,Advanced Certified,80,University C,Suburban,81950
376,Professor,14,PhD,Engineering,Certified,97,University B,Suburban,136840
377,Lecturer,11,Master's,Business,Certified,73,University B,Rural,72100
378,Associate Professor,7,Bachelor's,Engineering,Advanced Certified,10,University C,Suburban,79750
379,Associate Professor,29,Master's,Business,Certified,27,University C,Rural,87900
380,Research Scientist,10,PhD,Medicine,None,90,University A,Suburban,99000
